date,datatype,station,attributes,value
2018-06-01T00:00:00,PRCP,GHCND:AQW00061705,",,,W",82.3
2018-06-01T00:00:00,PRCP,GHCND:CA001018611,"1,,,C",18.6
2018-06-01T00:00:00,PRCP,GHCND:CA001135126,",,,C",45.0
2018-06-01T00:00:00,PRCP,GHCND:CA005020881,"1,,,C",59.0
2018-06-01T00:00:00,PRCP,GHCND:CA006020559,",,,C",98.2
2018-06-01T00:00:00,PRCP,GHCND:CQC00914080,",,,7",275.9
2018-06-01T00:00:00,PRCP,GHCND:CQC00914801,",,,7",298.9
2018-06-01T00:00:00,PRCP,GHCND:CQC00914855,",,,W",167.5
2018-06-01T00:00:00,PRCP,GHCND:GQC00914727,",,,7",171.9
2018-06-01T00:00:00,PRCP,GHCND:GQW00041415,",,,W",138.0
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRAC0001,"1,,,N",59.7
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRAL0003,",a,,N",23.0
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRCR0001,"4,,,N",62.7
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRCS0001,"3,,,N",157.6
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRGM0002,",,,N",133.8
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRHT0003,"2,,,N",35.9
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRIS0002,",,,N",50.6
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRJD0002,",,,N",77.5
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRJN0001,",,,N",144.3
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRLJ0002,",,,N",22.4
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRLM0001,"1,,,N",267.0
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRLR0002,"3,,,N",234.7
2018-06-01T00:00:00,PRCP,GHCND:RQ1PRMY0005,",,,N",164.6
