date,datatype,station,attributes,value
2018-12-01T00:00:00,TAVG,GHCND:AQW00061705,",W",28.34
2018-12-01T00:00:00,TMAX,GHCND:AQW00061705,",,,W",30.71
2018-12-01T00:00:00,TMIN,GHCND:AQW00061705,",,,W",25.98
2018-12-01T00:00:00,TAVG,GHCND:CA001018611,",C",6.47
2018-12-01T00:00:00,TMAX,GHCND:CA001018611,",,,C",8.48
2018-12-01T00:00:00,TMIN,GHCND:CA001018611,",,,C",4.47
2018-12-01T00:00:00,TAVG,GHCND:CA001135126,",C",-2.11
2018-12-01T00:00:00,TMAX,GHCND:CA001135126,",,,C",1.63
2018-12-01T00:00:00,TMIN,GHCND:CA001135126,",,,C",-5.85
2018-12-01T00:00:00,TAVG,GHCND:CA005020881,",C",-10.31
2018-12-01T00:00:00,TMAX,GHCND:CA005020881,",,,C",-5.81
2018-12-01T00:00:00,TMIN,GHCND:CA005020881,",,,C",-14.81
2018-12-01T00:00:00,TAVG,GHCND:CA006020559,",C",-8.41
2018-12-01T00:00:00,TMAX,GHCND:CA006020559,",,,C",-3.97
2018-12-01T00:00:00,TMIN,GHCND:CA006020559,",,,C",-12.85
2018-12-01T00:00:00,TMIN,GHCND:CQC00914080,"2,,,7",23.97
2018-12-01T00:00:00,TAVG,GHCND:CQC00914801,",7",26.71
2018-12-01T00:00:00,TMAX,GHCND:CQC00914801,",,,7",28.89
2018-12-01T00:00:00,TMIN,GHCND:CQC00914801,",,,7",24.53
2018-12-01T00:00:00,TAVG,GHCND:CQC00914855,",W",28.06
2018-12-01T00:00:00,TMAX,GHCND:CQC00914855,",,,W",30.27
2018-12-01T00:00:00,TMIN,GHCND:CQC00914855,",,,W",25.86
2018-12-01T00:00:00,TAVG,GHCND:GQW00041415,",W",28.91
2018-12-01T00:00:00,TMAX,GHCND:GQW00041415,",,,W",31.57
2018-12-01T00:00:00,TMIN,GHCND:GQW00041415,",,,W",26.25
2018-12-01T00:00:00,TMAX,GHCND:RQC00660061,"3,,,7",27.05
2018-12-01T00:00:00,TAVG,GHCND:RQC00660158,"2,7",20.5
2018-12-01T00:00:00,TMAX,GHCND:RQC00660158,"1,,,7",23.92
2018-12-01T00:00:00,TMIN,GHCND:RQC00660158,"2,,,7",17.08
2018-12-01T00:00:00,TAVG,GHCND:RQC00662633,",7",23.72
2018-12-01T00:00:00,TMAX,GHCND:RQC00662633,",,,7",27.97
2018-12-01T00:00:00,TMIN,GHCND:RQC00662633,",,,7",19.48
2018-12-01T00:00:00,TAVG,GHCND:RQC00662801,"1,7",24.46
2018-12-01T00:00:00,TMAX,GHCND:RQC00662801,"1,,,7",29.62
2018-12-01T00:00:00,TMIN,GHCND:RQC00662801,"1,,,7",19.29
2018-12-01T00:00:00,TAVG,GHCND:RQC00663431,"1,7",24.71
2018-12-01T00:00:00,TMAX,GHCND:RQC00663431,"1,,,7",30.74
2018-12-01T00:00:00,TMIN,GHCND:RQC00663431,",,,7",18.68
2018-12-01T00:00:00,TAVG,GHCND:RQC00664614,",7",25.48
2018-12-01T00:00:00,TMAX,GHCND:RQC00664614,",,,7",28.85
2018-12-01T00:00:00,TMIN,GHCND:RQC00664614,",,,7",22.12
2018-12-01T00:00:00,TAVG,GHCND:RQC00665064,",7",23.81
2018-12-01T00:00:00,TMAX,GHCND:RQC00665064,",,,7",28.72
2018-12-01T00:00:00,TMIN,GHCND:RQC00665064,",,,7",18.9
2018-12-01T00:00:00,TAVG,GHCND:RQC00665097,",7",24.85
2018-12-01T00:00:00,TMAX,GHCND:RQC00665097,",,,7",31.88
2018-12-01T00:00:00,TMIN,GHCND:RQC00665097,",,,7",17.83
2018-12-01T00:00:00,TAVG,GHCND:RQC00665807,",7",23.87
2018-12-01T00:00:00,TMAX,GHCND:RQC00665807,",,,7",28.49
2018-12-01T00:00:00,TMIN,GHCND:RQC00665807,",,,7",19.25
2018-12-01T00:00:00,TAVG,GHCND:RQC00665908,",7",20.86
2018-12-01T00:00:00,TMAX,GHCND:RQC00665908,",,,7",24.57
2018-12-01T00:00:00,TMIN,GHCND:RQC00665908,",,,7",17.15
2018-12-01T00:00:00,TAVG,GHCND:RQC00666343,",7",26.22
2018-12-01T00:00:00,TMAX,GHCND:RQC00666343,",,,7",29.27
2018-12-01T00:00:00,TMIN,GHCND:RQC00666343,",,,7",23.17
2018-12-01T00:00:00,TAVG,GHCND:RQC00666725,",7",22.18
2018-12-01T00:00:00,TMAX,GHCND:RQC00666725,",,,7",24.62
2018-12-01T00:00:00,TMIN,GHCND:RQC00666725,",,,7",19.74
2018-12-01T00:00:00,TAVG,GHCND:RQC00666730,",7",23.9
2018-12-01T00:00:00,TMAX,GHCND:RQC00666730,",,,7",28.54
2018-12-01T00:00:00,TMIN,GHCND:RQC00666730,",,,7",19.27
2018-12-01T00:00:00,TAVG,GHCND:RQC00668814,",7",25.84
2018-12-01T00:00:00,TMAX,GHCND:RQC00668814,",,,7",29.45
2018-12-01T00:00:00,TMIN,GHCND:RQC00668814,",,,7",22.23
2018-12-01T00:00:00,TAVG,GHCND:RQW00011630,",W",25.63
2018-12-01T00:00:00,TMAX,GHCND:RQW00011630,",,,W",28.52
2018-12-01T00:00:00,TMIN,GHCND:RQW00011630,",,,W",22.74
2018-12-01T00:00:00,TAVG,GHCND:RQW00011641,",W",26.29
2018-12-01T00:00:00,TMAX,GHCND:RQW00011641,",,,W",29.45
2018-12-01T00:00:00,TMIN,GHCND:RQW00011641,",,,W",23.12
2018-12-01T00:00:00,TAVG,GHCND:USC00010063,"1,7",6.76
2018-12-01T00:00:00,TMAX,GHCND:USC00010063,"1,,,7",11.7
2018-12-01T00:00:00,TMIN,GHCND:USC00010063,"1,,,7",1.83
2018-12-01T00:00:00,TAVG,GHCND:USC00010160,"1,7",8.28
2018-12-01T00:00:00,TMAX,GHCND:USC00010160,"1,,,7",13.72
2018-12-01T00:00:00,TMIN,GHCND:USC00010160,",,,7",2.85
2018-12-01T00:00:00,TAVG,GHCND:USC00010178,"1,7",8.93
2018-12-01T00:00:00,TMAX,GHCND:USC00010178,",,,7",13.93
2018-12-01T00:00:00,TMIN,GHCND:USC00010178,"1,,,7",3.94
2018-12-01T00:00:00,TAVG,GHCND:USC00010260,",7",7.1
2018-12-01T00:00:00,TMAX,GHCND:USC00010260,",,,7",11.28
2018-12-01T00:00:00,TMIN,GHCND:USC00010260,",,,7",2.92
2018-12-01T00:00:00,TAVG,GHCND:USC00010390,"2,7",8.75
2018-12-01T00:00:00,TMAX,GHCND:USC00010390,"2,,,7",13.03
2018-12-01T00:00:00,TMIN,GHCND:USC00010390,",,,7",4.47
2018-12-01T00:00:00,TAVG,GHCND:USC00010402,",7",11.83
2018-12-01T00:00:00,TMAX,GHCND:USC00010402,",,,7",16.96
2018-12-01T00:00:00,TMIN,GHCND:USC00010402,",,,7",6.7
2018-12-01T00:00:00,TAVG,GHCND:USC00010425,",7",9.51
2018-12-01T00:00:00,TMAX,GHCND:USC00010425,",,,7",13.91
2018-12-01T00:00:00,TMIN,GHCND:USC00010425,",,,7",5.11
2018-12-01T00:00:00,TAVG,GHCND:USC00010505,",7",8.56
