date,datatype,station,attributes,value
2020-12-01T00:00:00,TAVG,GHCND:AQW00061705,",W",27.76
2020-12-01T00:00:00,TMAX,GHCND:AQW00061705,",,,W",30.35
2020-12-01T00:00:00,TMIN,GHCND:AQW00061705,",,,W",25.17
2020-12-01T00:00:00,TAVG,GHCND:CA001018611,"1,C",6.54
2020-12-01T00:00:00,TMAX,GHCND:CA001018611,"1,,,C",8.43
2020-12-01T00:00:00,TMIN,GHCND:CA001018611,"1,,,C",4.65
2020-12-01T00:00:00,TAVG,GHCND:CA001135126,",C",-2.27
2020-12-01T00:00:00,TMAX,GHCND:CA001135126,",,,C",0.42
2020-12-01T00:00:00,TMIN,GHCND:CA001135126,",,,C",-4.95
2020-12-01T00:00:00,TAVG,GHCND:CA005020881,",C",-6.81
2020-12-01T00:00:00,TMAX,GHCND:CA005020881,",,,C",-1.73
2020-12-01T00:00:00,TMIN,GHCND:CA005020881,",,,C",-11.89
2020-12-01T00:00:00,TAVG,GHCND:CA006020559,",C",-8.1
2020-12-01T00:00:00,TMAX,GHCND:CA006020559,",,,C",-4.06
2020-12-01T00:00:00,TMIN,GHCND:CA006020559,",,,C",-12.13
2020-12-01T00:00:00,TAVG,GHCND:CQC00914080,",7",25.71
2020-12-01T00:00:00,TMAX,GHCND:CQC00914080,",,,7",28.07
2020-12-01T00:00:00,TMIN,GHCND:CQC00914080,",,,7",23.36
2020-12-01T00:00:00,TAVG,GHCND:CQC00914801,",7",26.99
2020-12-01T00:00:00,TMAX,GHCND:CQC00914801,",,,7",29.33
2020-12-01T00:00:00,TMIN,GHCND:CQC00914801,",,,7",24.64
2020-12-01T00:00:00,TAVG,GHCND:CQC00914855,",W",28.14
2020-12-01T00:00:00,TMAX,GHCND:CQC00914855,",,,W",30.66
2020-12-01T00:00:00,TMIN,GHCND:CQC00914855,",,,W",25.62
2020-12-01T00:00:00,TAVG,GHCND:GQW00041415,",W",27.5
2020-12-01T00:00:00,TMAX,GHCND:GQW00041415,",,,W",30.1
2020-12-01T00:00:00,TMIN,GHCND:GQW00041415,",,,W",24.91
2020-12-01T00:00:00,TAVG,GHCND:RQC00660061,"1,7",20.75
2020-12-01T00:00:00,TMAX,GHCND:RQC00660061,",,,7",26.86
2020-12-01T00:00:00,TMIN,GHCND:RQC00660061,"1,,,7",14.64
2020-12-01T00:00:00,TAVG,GHCND:RQC00660158,",7",21.29
2020-12-01T00:00:00,TMAX,GHCND:RQC00660158,",,,7",24.22
2020-12-01T00:00:00,TMIN,GHCND:RQC00660158,",,,7",18.36
2020-12-01T00:00:00,TAVG,GHCND:RQC00660426,"2,7",22.65
2020-12-01T00:00:00,TMAX,GHCND:RQC00660426,"2,,,7",27.28
2020-12-01T00:00:00,TMIN,GHCND:RQC00660426,"2,,,7",18.02
2020-12-01T00:00:00,TAVG,GHCND:RQC00662801,",7",24.73
2020-12-01T00:00:00,TMAX,GHCND:RQC00662801,",,,7",29.67
2020-12-01T00:00:00,TMIN,GHCND:RQC00662801,",,,7",19.8
2020-12-01T00:00:00,TAVG,GHCND:RQC00663431,",7",24.47
2020-12-01T00:00:00,TMAX,GHCND:RQC00663431,",,,7",29.88
2020-12-01T00:00:00,TMIN,GHCND:RQC00663431,",,,7",19.07
2020-12-01T00:00:00,TAVG,GHCND:RQC00664614,"3,7",25.0
2020-12-01T00:00:00,TMAX,GHCND:RQC00664614,"3,,,7",28.8
2020-12-01T00:00:00,TMIN,GHCND:RQC00664614,"1,,,7",21.19
2020-12-01T00:00:00,TAVG,GHCND:RQC00665064,",7",24.05
2020-12-01T00:00:00,TMAX,GHCND:RQC00665064,",,,7",28.93
2020-12-01T00:00:00,TMIN,GHCND:RQC00665064,",,,7",19.18
2020-12-01T00:00:00,TAVG,GHCND:RQC00665097,"5,7",24.68
2020-12-01T00:00:00,TMAX,GHCND:RQC00665097,"5,,,7",31.31
2020-12-01T00:00:00,TMIN,GHCND:RQC00665097,"5,,,7",18.05
2020-12-01T00:00:00,TAVG,GHCND:RQC00665693,",7",25.5
2020-12-01T00:00:00,TMAX,GHCND:RQC00665693,",,,7",29.7
2020-12-01T00:00:00,TMIN,GHCND:RQC00665693,",,,7",21.3
2020-12-01T00:00:00,TAVG,GHCND:RQC00665908,",7",20.76
2020-12-01T00:00:00,TMAX,GHCND:RQC00665908,",,,7",24.43
