date,datatype,station,attributes,value
2019-01-01T00:00:00,TAVG,GHCND:AQW00061705,",W",28.49
2019-01-01T00:00:00,TMAX,GHCND:AQW00061705,",,,W",31.07
2019-01-01T00:00:00,TMIN,GHCND:AQW00061705,",,,W",25.9
2019-01-01T00:00:00,TAVG,GHCND:CA001018611,",C",6.85
2019-01-01T00:00:00,TMAX,GHCND:CA001018611,",,,C",8.97
2019-01-01T00:00:00,TMIN,GHCND:CA001018611,",,,C",4.73
2019-01-01T00:00:00,TAVG,GHCND:CA001135126,",C",-3.19
2019-01-01T00:00:00,TMAX,GHCND:CA001135126,",,,C",1.24
2019-01-01T00:00:00,TMIN,GHCND:CA001135126,",,,C",-7.61
2019-01-01T00:00:00,TAVG,GHCND:CA005020881,",C",-17.32
2019-01-01T00:00:00,TMAX,GHCND:CA005020881,",,,C",-12.77
2019-01-01T00:00:00,TMIN,GHCND:CA005020881,",,,C",-21.87
2019-01-01T00:00:00,TAVG,GHCND:CA006020559,",C",-17.31
2019-01-01T00:00:00,TMAX,GHCND:CA006020559,",,,C",-11.79
2019-01-01T00:00:00,TMIN,GHCND:CA006020559,",,,C",-22.82
2019-01-01T00:00:00,TAVG,GHCND:CQC00914080,"5,7",24.07
2019-01-01T00:00:00,TMAX,GHCND:CQC00914080,"5,,,7",25.63
2019-01-01T00:00:00,TMIN,GHCND:CQC00914080,",,,7",22.51
2019-01-01T00:00:00,TAVG,GHCND:CQC00914801,",7",25.65
2019-01-01T00:00:00,TMAX,GHCND:CQC00914801,",,,7",27.73
2019-01-01T00:00:00,TMIN,GHCND:CQC00914801,",,,7",23.57
2019-01-01T00:00:00,TAVG,GHCND:CQC00914855,"1,W",26.97
2019-01-01T00:00:00,TMAX,GHCND:CQC00914855,"1,,,W",29.65
2019-01-01T00:00:00,TMIN,GHCND:CQC00914855,"1,,,W",24.3
2019-01-01T00:00:00,TAVG,GHCND:GQW00041415,",W",27.48
2019-01-01T00:00:00,TMAX,GHCND:GQW00041415,",,,W",30.36
2019-01-01T00:00:00,TMIN,GHCND:GQW00041415,",,,W",24.61
2019-01-01T00:00:00,TAVG,GHCND:RQC00660061,",7",19.73
2019-01-01T00:00:00,TMAX,GHCND:RQC00660061,",,,7",26.6
2019-01-01T00:00:00,TMIN,GHCND:RQC00660061,",,,7",12.87
2019-01-01T00:00:00,TAVG,GHCND:RQC00660158,",7",19.37
2019-01-01T00:00:00,TMAX,GHCND:RQC00660158,",,,7",22.75
2019-01-01T00:00:00,TMIN,GHCND:RQC00660158,",,,7",15.98
2019-01-01T00:00:00,TAVG,GHCND:RQC00660426,"3,7",21.02
2019-01-01T00:00:00,TMAX,GHCND:RQC00660426,"1,,,7",26.02
2019-01-01T00:00:00,TMIN,GHCND:RQC00660426,"2,,,7",16.02
2019-01-01T00:00:00,TAVG,GHCND:RQC00662633,",7",22.66
2019-01-01T00:00:00,TMAX,GHCND:RQC00662633,",,,7",26.85
2019-01-01T00:00:00,TMIN,GHCND:RQC00662633,",,,7",18.47
2019-01-01T00:00:00,TAVG,GHCND:RQC00662801,",7",23.87
2019-01-01T00:00:00,TMAX,GHCND:RQC00662801,",,,7",29.22
2019-01-01T00:00:00,TMIN,GHCND:RQC00662801,",,,7",18.52
2019-01-01T00:00:00,TAVG,GHCND:RQC00663431,"1,7",23.75
2019-01-01T00:00:00,TMAX,GHCND:RQC00663431,"1,,,7",29.76
2019-01-01T00:00:00,TMIN,GHCND:RQC00663431,",,,7",17.74
