date,datatype,station,attributes,value
2018-01-01T00:00:00,TAVG,GHCND:AQW00061705,",W",27.85
2018-01-01T00:00:00,TMAX,GHCND:AQW00061705,",,,W",30.58
2018-01-01T00:00:00,TMIN,GHCND:AQW00061705,",,,W",25.12
2018-01-01T00:00:00,TAVG,GHCND:CA001018611,",C",6.3
2018-01-01T00:00:00,TMAX,GHCND:CA001018611,",,,C",7.98
2018-01-01T00:00:00,TMIN,GHCND:CA001018611,",,,C",4.63
2018-01-01T00:00:00,TAVG,GHCND:CA001135126,",C",-2.17
2018-01-01T00:00:00,TMAX,GHCND:CA001135126,",,,C",1.1
2018-01-01T00:00:00,TMIN,GHCND:CA001135126,",,,C",-5.44
2018-01-01T00:00:00,TAVG,GHCND:CA005020881,",C",-13.4
2018-01-01T00:00:00,TMAX,GHCND:CA005020881,",,,C",-8.93
2018-01-01T00:00:00,TMIN,GHCND:CA005020881,",,,C",-17.87
2018-01-01T00:00:00,TAVG,GHCND:CA006020559,",C",-14.14
2018-01-01T00:00:00,TMAX,GHCND:CA006020559,",,,C",-8.5
2018-01-01T00:00:00,TMIN,GHCND:CA006020559,",,,C",-19.77
2018-01-01T00:00:00,TAVG,GHCND:CQC00914080,"3,7",25.46
2018-01-01T00:00:00,TMAX,GHCND:CQC00914080,"3,,,7",27.69
2018-01-01T00:00:00,TMIN,GHCND:CQC00914080,"1,,,7",23.23
2018-01-01T00:00:00,TAVG,GHCND:CQC00914801,",7",26.77
2018-01-01T00:00:00,TMAX,GHCND:CQC00914801,",,,7",28.95
2018-01-01T00:00:00,TMIN,GHCND:CQC00914801,",,,7",24.59
2018-01-01T00:00:00,TAVG,GHCND:CQC00914855,",W",27.77
2018-01-01T00:00:00,TMAX,GHCND:CQC00914855,",,,W",30.82
2018-01-01T00:00:00,TMIN,GHCND:CQC00914855,",,,W",24.71
2018-01-01T00:00:00,TAVG,GHCND:GQW00041415,",W",28.05
2018-01-01T00:00:00,TMAX,GHCND:GQW00041415,",,,W",31.1
2018-01-01T00:00:00,TMIN,GHCND:GQW00041415,",,,W",24.99
2018-01-01T00:00:00,TAVG,GHCND:RQC00662801,"1,7",24.68
2018-01-01T00:00:00,TMAX,GHCND:RQC00662801,"1,,,7",29.05
2018-01-01T00:00:00,TMIN,GHCND:RQC00662801,"1,,,7",20.31
2018-01-01T00:00:00,TAVG,GHCND:RQC00663431,",7",25.06
2018-01-01T00:00:00,TMAX,GHCND:RQC00663431,",,,7",30.15
2018-01-01T00:00:00,TMIN,GHCND:RQC00663431,",,,7",19.97
2018-01-01T00:00:00,TAVG,GHCND:RQC00664193,",7",26.77
2018-01-01T00:00:00,TMAX,GHCND:RQC00664193,",,,7",30.12
2018-01-01T00:00:00,TMIN,GHCND:RQC00664193,",,,7",23.43
2018-01-01T00:00:00,TAVG,GHCND:RQC00665064,",7",24.17
2018-01-01T00:00:00,TMAX,GHCND:RQC00665064,",,,7",28.46
2018-01-01T00:00:00,TMIN,GHCND:RQC00665064,",,,7",19.88
2018-01-01T00:00:00,TAVG,GHCND:RQC00665097,"3,7",24.48
2018-01-01T00:00:00,TMAX,GHCND:RQC00665097,"3,,,7",31.09
2018-01-01T00:00:00,TMIN,GHCND:RQC00665097,"3,,,7",17.86
2018-01-01T00:00:00,TMAX,GHCND:RQC00665908,"3,,,7",24.03
2018-01-01T00:00:00,TAVG,GHCND:RQC00666343,",7",25.57
2018-01-01T00:00:00,TMAX,GHCND:RQC00666343,",,,7",28.26
2018-01-01T00:00:00,TMIN,GHCND:RQC00666343,",,,7",22.87
2018-01-01T00:00:00,TAVG,GHCND:RQC00666730,",7",23.89
2018-01-01T00:00:00,TMAX,GHCND:RQC00666730,",,,7",27.97
2018-01-01T00:00:00,TMIN,GHCND:RQC00666730,",,,7",19.81
2018-01-01T00:00:00,TAVG,GHCND:RQC00668814,",7",25.58
2018-01-01T00:00:00,TMAX,GHCND:RQC00668814,",,,7",28.88
2018-01-01T00:00:00,TMIN,GHCND:RQC00668814,",,,7",22.28
2018-01-01T00:00:00,TAVG,GHCND:RQC00669415,"1,7",25.14
2018-01-01T00:00:00,TMAX,GHCND:RQC00669415,"1,,,7",28.66
2018-01-01T00:00:00,TMIN,GHCND:RQC00669415,"1,,,7",21.62
2018-01-01T00:00:00,TAVG,GHCND:RQW00011641,",W",26.06
2018-01-01T00:00:00,TMAX,GHCND:RQW00011641,",,,W",28.99
2018-01-01T00:00:00,TMIN,GHCND:RQW00011641,",,,W",23.12
2018-01-01T00:00:00,TAVG,GHCND:USC00010063,"2,7",0.83
2018-01-01T00:00:00,TMAX,GHCND:USC00010063,"2,,,7",7.54
2018-01-01T00:00:00,TMIN,GHCND:USC00010063,"2,,,7",-5.89
2018-01-01T00:00:00,TAVG,GHCND:USC00010160,",7",3.96
2018-01-01T00:00:00,TMAX,GHCND:USC00010160,",,,7",10.57
2018-01-01T00:00:00,TMIN,GHCND:USC00010160,",,,7",-2.65
2018-01-01T00:00:00,TAVG,GHCND:USC00010178,",7",3.58
2018-01-01T00:00:00,TMAX,GHCND:USC00010178,",,,7",9.7
2018-01-01T00:00:00,TMIN,GHCND:USC00010178,",,,7",-2.54
2018-01-01T00:00:00,TAVG,GHCND:USC00010252,"2,7",7.18
2018-01-01T00:00:00,TMAX,GHCND:USC00010252,"2,,,7",14.46
2018-01-01T00:00:00,TMIN,GHCND:USC00010252,"2,,,7",-0.09
2018-01-01T00:00:00,TAVG,GHCND:USC00010260,",7",2.72
2018-01-01T00:00:00,TMAX,GHCND:USC00010260,",,,7",8.59
2018-01-01T00:00:00,TMIN,GHCND:USC00010260,",,,7",-3.15
2018-01-01T00:00:00,TAVG,GHCND:USC00010390,",7",3.98
2018-01-01T00:00:00,TMAX,GHCND:USC00010390,",,,7",10.15
2018-01-01T00:00:00,TMIN,GHCND:USC00010390,",,,7",-2.18
2018-01-01T00:00:00,TAVG,GHCND:USC00010402,",7",6.55
2018-01-01T00:00:00,TMAX,GHCND:USC00010402,",,,7",12.56
2018-01-01T00:00:00,TMIN,GHCND:USC00010402,",,,7",0.54
2018-01-01T00:00:00,TAVG,GHCND:USC00010425,",7",5.28
2018-01-01T00:00:00,TMAX,GHCND:USC00010425,",,,7",10.76
2018-01-01T00:00:00,TMIN,GHCND:USC00010425,",,,7",-0.2
2018-01-01T00:00:00,TAVG,GHCND:USC00010505,",7",4.29
2018-01-01T00:00:00,TMAX,GHCND:USC00010505,",,,7",10.83
2018-01-01T00:00:00,TMIN,GHCND:USC00010505,",,,7",-2.25
2018-01-01T00:00:00,TAVG,GHCND:USC00010583,",7",7.23
2018-01-01T00:00:00,TMAX,GHCND:USC00010583,",,,7",13.17
2018-01-01T00:00:00,TMIN,GHCND:USC00010583,",,,7",1.28
2018-01-01T00:00:00,TAVG,GHCND:USC00010655,",7",1.44
2018-01-01T00:00:00,TMAX,GHCND:USC00010655,",,,7",7.52
2018-01-01T00:00:00,TMIN,GHCND:USC00010655,",,,7",-4.64
2018-01-01T00:00:00,TAVG,GHCND:USC00010764,",7",4.51
2018-01-01T00:00:00,TMAX,GHCND:USC00010764,",,,7",10.41
2018-01-01T00:00:00,TMIN,GHCND:USC00010764,",,,7",-1.4
2018-01-01T00:00:00,TAVG,GHCND:USC00011080,",7",7.23
2018-01-01T00:00:00,TMAX,GHCND:USC00011080,",,,7",12.02
2018-01-01T00:00:00,TMIN,GHCND:USC00011080,",,,7",2.44
2018-01-01T00:00:00,TAVG,GHCND:USC00011099,"3,7",0.28
2018-01-01T00:00:00,TMAX,GHCND:USC00011099,"3,,,7",6.11
2018-01-01T00:00:00,TMIN,GHCND:USC00011099,"3,,,7",-5.56
2018-01-01T00:00:00,TAVG,GHCND:USC00011490,",7",2.17
2018-01-01T00:00:00,TMAX,GHCND:USC00011490,",,,7",8.71
2018-01-01T00:00:00,TMIN,GHCND:USC00011490,",,,7",-4.36
2018-01-01T00:00:00,TAVG,GHCND:USC00011566,"5,7",4.8
2018-01-01T00:00:00,TMAX,GHCND:USC00011566,"5,,,7",11.35
2018-01-01T00:00:00,TMIN,GHCND:USC00011566,"5,,,7",-1.75
2018-01-01T00:00:00,TAVG,GHCND:USC00011620,",7",5.2
2018-01-01T00:00:00,TMAX,GHCND:USC00011620,",,,7",12.32
2018-01-01T00:00:00,TMIN,GHCND:USC00011620,",,,7",-1.93
2018-01-01T00:00:00,TAVG,GHCND:USC00011694,",7",4.31
2018-01-01T00:00:00,TMAX,GHCND:USC00011694,",,,7",11.52
2018-01-01T00:00:00,TMIN,GHCND:USC00011694,",,,7",-2.9
2018-01-01T00:00:00,TAVG,GHCND:USC00011725,"1,7",6.86
2018-01-01T00:00:00,TMAX,GHCND:USC00011725,"1,,,7",13.58
2018-01-01T00:00:00,TMIN,GHCND:USC00011725,"1,,,7",0.13
2018-01-01T00:00:00,TAVG,GHCND:USC00012096,"1,7",1.01
2018-01-01T00:00:00,TMAX,GHCND:USC00012096,",,,7",7.02
2018-01-01T00:00:00,TMIN,GHCND:USC00012096,"1,,,7",-5.01
2018-01-01T00:00:00,TAVG,GHCND:USC00012209,"5,7",2.33
2018-01-01T00:00:00,TMAX,GHCND:USC00012209,"2,,,7",9.47
2018-01-01T00:00:00,TMIN,GHCND:USC00012209,"4,,,7",-4.8
2018-01-01T00:00:00,TAVG,GHCND:USC00012730,"4,7",6.31
2018-01-01T00:00:00,TMAX,GHCND:USC00012730,"4,,,7",14.39
2018-01-01T00:00:00,TMIN,GHCND:USC00012730,"4,,,7",-1.77
2018-01-01T00:00:00,TAVG,GHCND:USC00012813,"1,7",6.75
2018-01-01T00:00:00,TMAX,GHCND:USC00012813,"1,,,7",14.01
2018-01-01T00:00:00,TMIN,GHCND:USC00012813,"1,,,7",-0.51
2018-01-01T00:00:00,TAVG,GHCND:USC00013043,"4,7",1.77
2018-01-01T00:00:00,TMAX,GHCND:USC00013043,"3,,,7",8.35
2018-01-01T00:00:00,TMIN,GHCND:USC00013043,"4,,,7",-4.81
2018-01-01T00:00:00,TAVG,GHCND:USC00013154,",7",2.91
2018-01-01T00:00:00,TMAX,GHCND:USC00013154,",,,7",9.37
2018-01-01T00:00:00,TMIN,GHCND:USC00013154,",,,7",-3.55
2018-01-01T00:00:00,TAVG,GHCND:USC00013160,",7",3.72
2018-01-01T00:00:00,TMAX,GHCND:USC00013160,",,,7",10.22
2018-01-01T00:00:00,TMIN,GHCND:USC00013160,",,,7",-2.78
2018-01-01T00:00:00,TAVG,GHCND:USC00013251,",7",5.75
2018-01-01T00:00:00,TMAX,GHCND:USC00013251,",,,7",12.47
2018-01-01T00:00:00,TMIN,GHCND:USC00013251,",,,7",-0.98
2018-01-01T00:00:00,TAVG,GHCND:USC00013511,",7",5.17
2018-01-01T00:00:00,TMAX,GHCND:USC00013511,",,,7",11.27
2018-01-01T00:00:00,TMIN,GHCND:USC00013511,",,,7",-0.93
2018-01-01T00:00:00,TAVG,GHCND:USC00013519,",7",5.97
2018-01-01T00:00:00,TMAX,GHCND:USC00013519,",,,7",13.12
2018-01-01T00:00:00,TMIN,GHCND:USC00013519,",,,7",-1.18
2018-01-01T00:00:00,TAVG,GHCND:USC00013573,",7",2.43
2018-01-01T00:00:00,TMAX,GHCND:USC00013573,",,,7",7.78
2018-01-01T00:00:00,TMIN,GHCND:USC00013573,",,,7",-2.93
2018-01-01T00:00:00,TAVG,GHCND:USC00013575,"2,7",2.5
2018-01-01T00:00:00,TMAX,GHCND:USC00013575,"2,,,7",7.82
2018-01-01T00:00:00,TMIN,GHCND:USC00013575,"2,,,7",-2.81
2018-01-01T00:00:00,TAVG,GHCND:USC00013620,"1,7",2.42
2018-01-01T00:00:00,TMAX,GHCND:USC00013620,"1,,,7",8.21
2018-01-01T00:00:00,TMIN,GHCND:USC00013620,"1,,,7",-3.37
2018-01-01T00:00:00,TAVG,GHCND:USC00013645,",7",1.32
2018-01-01T00:00:00,TMAX,GHCND:USC00013645,",,,7",8.83
2018-01-01T00:00:00,TMIN,GHCND:USC00013645,",,,7",-6.2
2018-01-01T00:00:00,TAVG,GHCND:USC00013655,",7",1.98
2018-01-01T00:00:00,TMAX,GHCND:USC00013655,",,,7",8.0
2018-01-01T00:00:00,TMIN,GHCND:USC00013655,",,,7",-4.05
2018-01-01T00:00:00,TAVG,GHCND:USC00013775,",7",2.9
2018-01-01T00:00:00,TMAX,GHCND:USC00013775,",,,7",10.01
2018-01-01T00:00:00,TMIN,GHCND:USC00013775,",,,7",-4.22
2018-01-01T00:00:00,TAVG,GHCND:USC00013781,",7",4.56
2018-01-01T00:00:00,TMAX,GHCND:USC00013781,",,,7",10.41
2018-01-01T00:00:00,TMIN,GHCND:USC00013781,",,,7",-1.29
2018-01-01T00:00:00,TAVG,GHCND:USC00014193,"1,7",5.79
2018-01-01T00:00:00,TMAX,GHCND:USC00014193,"1,,,7",12.4
